-BEGIN HEADER-,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
NASA/POWER Source Native Resolution Daily Data ,,,,,,,,,,
Dates (month/day/year): 01/01/2020 through 12/31/2020 in LST,,,,,,,,,,
Location: Regional ,,,,,,,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,
parameter(s): ,,,,,,,,,,
T2M     MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,
-END HEADER-,,,,,,,,,,
LAT,LON,YEAR,MO,DY,T2M,PS,WS10M,WD10M,WS50M,WD50M
10.5,-75,2020,1,1,28.08,100.25,2.25,10.5,3.88,11.4
10.5,-74.375,2020,1,1,28.56,98.38,1.64,351.2,2.82,5.6
10.5,-73.75,2020,1,1,22.54,88.22,1.32,57.4,2.46,58.8
10.5,-73.125,2020,1,1,21.69,89.9,2,40.4,3.52,33.1
10.5,-72.5,2020,1,1,24.58,93.64,1.37,21.9,3.01,23.1
10.5,-71.875,2020,1,1,29.02,100.43,3.24,11.8,5.12,12.5
10.5,-71.25,2020,1,1,30.06,99.77,3.67,30.9,5.28,35.7
11,-75,2020,1,1,27.89,100.57,6.9,39,8.66,39
11,-74.375,2020,1,1,27.5,98.21,4.97,44,6.24,46.1
11,-73.75,2020,1,1,21.67,88.81,3.23,77.2,4.31,81.6
11,-73.125,2020,1,1,24.05,93.78,1.48,73.9,2.74,74.4
11,-72.5,2020,1,1,25.8,96.84,1.13,62,2.92,65.6
11,-71.875,2020,1,1,28.42,100.71,4,44.6,5.91,45.8
11,-71.25,2020,1,1,28.68,100.68,7.4,48.3,8.96,50.1
11.5,-75,2020,1,1,27.47,100.99,10.8,50.5,12.36,51.1
11.5,-74.375,2020,1,1,27.24,100.14,9.69,57.4,11.21,58.2
11.5,-73.75,2020,1,1,26.14,98.5,7.72,70,8.83,71
11.5,-73.125,2020,1,1,27.43,100.24,5.22,78,6.76,78
11.5,-72.5,2020,1,1,27.95,100.66,3.48,81.3,5.75,80.6
11.5,-71.875,2020,1,1,27.89,100.9,6.52,66.5,8.17,66.4
11.5,-71.25,2020,1,1,27.28,100.99,9.14,62.4,10.49,62.9
12,-75,2020,1,1,27.38,101.07,10.48,61.4,11.94,61.8
12,-74.375,2020,1,1,27.34,101.08,10.32,66.9,11.73,67.2
12,-73.75,2020,1,1,27.35,101.11,9.25,71.7,10.46,71.9
12,-73.125,2020,1,1,27.37,101.13,8.09,70.7,9.31,70.8
12,-72.5,2020,1,1,27.57,101.08,6.51,73,8.3,73
12,-71.875,2020,1,1,27.92,100.54,6.83,74.9,8.69,74.6
12,-71.25,2020,1,1,27.26,100.79,8.47,73.5,9.86,73.6
12.5,-75,2020,1,1,27.41,101.12,9.71,65.8,10.98,66
12.5,-74.375,2020,1,1,27.34,101.13,9.49,70.2,10.74,70.4
12.5,-73.75,2020,1,1,27.32,101.15,9.01,73.4,10.18,73.6
12.5,-73.125,2020,1,1,27.35,101.15,8.64,74,9.74,74.3
12.5,-72.5,2020,1,1,27.1,101.17,7.99,73.6,9.24,73.8
12.5,-71.875,2020,1,1,27.29,100.98,7.65,77.5,9.19,77.7
12.5,-71.25,2020,1,1,27.26,100.97,8.23,79.8,9.51,79.9
10.5,-75,2020,1,2,28.11,100.29,1.98,6,3.47,6.8
10.5,-74.375,2020,1,2,28.31,98.43,1.65,347,2.78,5.3
10.5,-73.75,2020,1,2,22.07,88.28,1.37,60.3,2.45,60.5
10.5,-73.125,2020,1,2,21.14,89.96,2.02,39.7,3.46,30.9
10.5,-72.5,2020,1,2,24.26,93.74,1.38,21.3,3.03,23
10.5,-71.875,2020,1,2,28.71,100.51,3.43,11.2,5.41,11.8
10.5,-71.25,2020,1,2,29.92,99.85,3.91,34.1,5.65,39
11,-75,2020,1,2,27.87,100.6,6.91,41.9,8.63,41.8
11,-74.375,2020,1,2,27.37,98.24,5.01,49.7,6.28,52
11,-73.75,2020,1,2,21.17,88.86,3.43,84.7,4.61,88.8
11,-73.125,2020,1,2,23.46,93.84,1.57,89,2.61,86.4
11,-72.5,2020,1,2,25.53,96.93,1.25,65.5,3.07,68.8
